member,sample_id,augmentation,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_rolloff,energy
teta,teta_1,original,-415.47613525390625,65.43680572509766,26.792205810546875,4.642019271850586,-9.983344078063965,0.44020330905914307,-12.324112892150879,-1.705817461013794,-6.823034763336182,-2.7013132572174072,3.2897701263427734,-0.7227246165275574,0.2159477323293686,4229.359567901234,0.004375058691948652
teta,teta_1,pitch_shift,-446.8742370605469,75.5522689819336,20.754568099975586,-10.742960929870605,-10.725943565368652,-6.678958892822266,-10.430596351623535,0.05941428616642952,-6.569458961486816,6.343752384185791,-6.067156791687012,0.569511353969574,-3.974138021469116,4336.6126543209875,0.0018758836667984724
teta,teta_1,time_stretch,-442.7256164550781,66.86550903320312,26.422414779663086,5.112766265869141,-11.900161743164062,0.13373324275016785,-13.741909980773926,-2.002635955810547,-8.054924964904785,-3.671295166015625,2.586353063583374,-2.1003336906433105,-1.3106622695922852,4236.5953947368425,0.0017813810845836997
teta,teta_1,background_noise,-261.85073416750186,21.927901586921863,11.448166445095467,0.5423009212085792,-6.628007184253783,-5.191721511188313,-5.65501962687681,-4.1706515103007575,-4.69699585320727,-2.5659026343356315,0.220605117722267,-1.2078036862397845,-0.5003759595231002,6017.746913580247,0.004399953693744338
teta,teta_2,original,-371.7320861816406,92.96904754638672,21.40819549560547,-3.261209487915039,-10.708786010742188,-2.853471040725708,-8.779131889343262,2.4506475925445557,-8.469779968261719,-3.158759117126465,-4.447461128234863,-0.7449468374252319,-5.318574905395508,3751.7260174418607,0.002890719333663583
teta,teta_2,pitch_shift,-390.6832275390625,91.5909423828125,7.900430202484131,-17.28925323486328,-7.562695026397705,-5.644157409667969,-4.507256984710693,-5.482534408569336,-8.893433570861816,0.6084349751472473,-5.909831523895264,-0.7053000330924988,-3.8593015670776367,4002.2710755813955,0.0013417991576716304
teta,teta_2,time_stretch,-396.678466796875,90.59232330322266,24.102556228637695,-6.429171085357666,-11.361802101135254,-3.4503982067108154,-10.415343284606934,2.859872817993164,-10.258943557739258,-2.7431933879852295,-5.61806583404541,-1.0633200407028198,-7.092304706573486,3931.8321078431372,0.001278317766264081
teta,teta_2,background_noise,-241.51454266222072,35.93455329428685,12.61645319691242,-4.609040269960991,-5.960160226716254,-4.715232734487845,-6.203751803997016,-2.5736375230093316,-6.095389272106585,-2.411773611707727,-3.557867141529572,-1.8231117245320398,-2.6282391883452014,5545.875726744186,0.002911113461907912
sonia,sonia_1,original,-191.07518005371094,96.98213958740234,19.43739891052246,9.000682830810547,-6.7436347007751465,-4.192458629608154,-10.194644927978516,-5.379766464233398,-11.840193748474121,-3.2540488243103027,-2.5649783611297607,-3.6758813858032227,-2.094668388366699,3861.56952247191,0.011699220165610313
sonia,sonia_1,pitch_shift,-216.96624755859375,97.1618881225586,8.886940002441406,-0.3373259902000427,-13.295641899108887,-7.037436008453369,-11.980401992797852,-5.239696502685547,-6.666142463684082,2.641695261001587,-8.639169692993164,0.9682937860488892,-6.987370014190674,3894.311797752809,0.005256491247564554
sonia,sonia_1,time_stretch,-224.5477294921875,96.06937408447266,20.209177017211914,9.223947525024414,-6.750874996185303,-4.24029016494751,-9.764432907104492,-5.980325698852539,-11.573801040649414,-2.7590956687927246,-1.7649729251861572,-3.7923760414123535,-2.2960433959960938,3836.6071428571427,0.0067909215576946735
sonia,sonia_1,background_noise,-165.0737660589214,75.40732869927707,23.328002971102705,6.908228501626258,-3.963294846070405,-5.57590108477679,-9.162306453595441,-7.377863174260771,-8.891966633040195,-4.902696598551579,-2.303637549989434,-3.803488107820726,-1.054130536173902,4966.818820224719,0.011724474855108684
sonia,sonia_2,original,-195.81307983398438,98.12776947021484,3.0462899208068848,-0.7560274004936218,-2.249385356903076,2.9253334999084473,-5.1871657371521,-4.325430393218994,-0.9080359935760498,1.085573673248291,-0.14154058694839478,-0.8439021706581116,-5.523897647857666,3704.5833333333335,0.009026970714330673
sonia,sonia_2,pitch_shift,-219.3690948486328,94.91839599609375,-9.162553787231445,-1.7375280857086182,-2.341823101043701,2.6962032318115234,-9.055136680603027,4.7660040855407715,-2.6389501094818115,0.7166276574134827,-6.6877875328063965,-2.890385627746582,-4.1317596435546875,3540.0,0.004234201740473509
