customer_id_legacy,transaction_id,purchase_amount,purchase_date,product_category,customer_rating,customer_id,rating_was_missing,purchase_month,purchase_dow,engagement_mean,engagement_max,interest_mean,interest_max,sentiment_mean,num_platforms,num_social_rows,dominant_platform,has_social_profile
151,1001,408,2024-01-01,Sports,2.3,151,0,1,0,71.66666666666667,82.0,2.1666666666666665,3.6,-0.3333333333333333,2.0,3.0,Twitter,1
192,1002,332,2024-01-02,Electronics,4.2,192,0,1,1,60.0,60.0,4.3,4.3,1.0,1.0,1.0,Instagram,1
114,1003,442,2024-01-03,Electronics,2.1,114,0,1,2,87.0,87.0,4.8,4.8,-1.0,1.0,1.0,Facebook,1
171,1004,256,2024-01-04,Clothing,2.8,171,0,1,3,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
160,1005,64,2024-01-05,Clothing,1.3,160,0,1,4,72.66666666666667,89.0,2.5,2.9,0.3333333333333333,3.0,3.0,Instagram,1
120,1006,395,2024-01-06,Groceries,1.1,120,0,1,5,77.0,92.0,2.6666666666666665,3.6,1.0,2.0,3.0,Instagram,1
182,1007,91,2024-01-07,Sports,4.9,182,0,1,6,57.0,57.0,1.2,1.2,-1.0,1.0,1.0,Twitter,1
186,1008,429,2024-01-08,Clothing,4.3,186,0,1,0,79.0,79.0,2.8,2.8,1.0,1.0,1.0,TikTok,1
174,1009,228,2024-01-09,Electronics,3.8,174,0,1,1,79.5,95.0,3.3499999999999996,3.8,0.5,2.0,2.0,Facebook,1
174,1010,112,2024-01-10,Sports,2.6,174,0,1,2,79.5,95.0,3.3499999999999996,3.8,0.5,2.0,2.0,Facebook,1
187,1011,401,2024-01-11,Sports,1.7,187,0,1,3,85.66666666666667,97.0,2.733333333333334,4.4,-0.6666666666666666,3.0,3.0,Instagram,1
199,1012,280,2024-01-12,Electronics,1.6,199,0,1,4,57.0,57.0,1.8,1.8,1.0,1.0,1.0,LinkedIn,1
123,1013,290,2024-01-13,Clothing,2.0,123,0,1,5,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
102,1014,101,2024-01-14,Electronics,3.2,102,0,1,6,51.0,51.0,4.8,4.8,0.0,1.0,1.0,LinkedIn,1
121,1015,145,2024-01-15,Sports,3.9,121,0,1,0,84.5,95.0,3.35,3.5,0.5,2.0,2.0,LinkedIn,1
152,1016,437,2024-01-16,Books,3.6,152,0,1,1,88.0,95.0,4.15,4.2,1.0,2.0,2.0,Facebook,1
101,1017,271,2024-01-17,Books,2.1,101,0,1,2,68.0,68.0,1.0,1.0,0.0,1.0,1.0,Twitter,1
187,1018,456,2024-01-18,Groceries,4.8,187,0,1,3,85.66666666666667,97.0,2.733333333333334,4.4,-0.6666666666666666,3.0,3.0,Instagram,1
129,1019,280,2024-01-19,Electronics,4.0,129,0,1,4,54.0,54.0,4.5,4.5,0.0,1.0,1.0,Twitter,1
137,1020,286,2024-01-20,Electronics,3.2,137,0,1,5,96.0,99.0,3.3,3.5,0.5,2.0,2.0,LinkedIn,1
101,1021,192,2024-01-21,Groceries,3.4,101,0,1,6,68.0,68.0,1.0,1.0,0.0,1.0,1.0,Twitter,1
163,1022,220,2024-01-22,Groceries,2.7,163,0,1,0,74.5,96.0,3.6,4.0,0.0,1.0,2.0,TikTok,1
159,1023,78,2024-01-23,Groceries,2.0,159,0,1,1,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
120,1024,85,2024-01-24,Sports,2.4,120,0,1,2,77.0,92.0,2.6666666666666665,3.6,1.0,2.0,3.0,Instagram,1
132,1025,62,2024-01-25,Electronics,4.0,132,0,1,3,63.0,63.0,3.3,3.3,1.0,1.0,1.0,LinkedIn,1
175,1026,209,2024-01-26,Sports,1.1,175,0,1,4,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
157,1027,376,2024-01-27,Groceries,1.5,157,0,1,5,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
121,1028,236,2024-01-28,Electronics,1.2,121,0,1,6,84.5,95.0,3.35,3.5,0.5,2.0,2.0,LinkedIn,1
188,1029,292,2024-01-29,Sports,1.2,188,0,1,0,50.0,50.0,3.6,3.6,1.0,1.0,1.0,TikTok,1
148,1030,135,2024-01-30,Sports,4.4,148,0,1,1,75.0,75.0,1.7,1.7,0.0,1.0,1.0,Facebook,1
190,1031,333,2024-01-31,Groceries,3.8,190,0,1,2,82.0,82.0,4.8,4.8,0.0,1.0,1.0,Twitter,1
158,1032,115,2024-02-01,Electronics,2.9,158,0,2,3,75.66666666666667,83.0,2.9,4.5,0.0,3.0,3.0,Instagram,1
141,1033,219,2024-02-02,Groceries,1.4,141,0,2,4,94.5,96.0,3.3499999999999996,3.9,-0.5,2.0,2.0,LinkedIn,1
191,1034,94,2024-02-03,Electronics,3.0,191,0,2,5,92.0,92.0,2.1,2.1,1.0,1.0,1.0,Facebook,1
159,1035,111,2024-02-04,Books,2.9,159,0,2,6,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
179,1036,490,2024-02-05,Clothing,1.7,179,0,2,0,50.0,50.0,3.0,3.0,-1.0,1.0,1.0,Twitter,1
114,1037,183,2024-02-06,Clothing,2.7,114,0,2,1,87.0,87.0,4.8,4.8,-1.0,1.0,1.0,Facebook,1
161,1038,333,2024-02-07,Clothing,2.6,161,0,2,2,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
161,1039,77,2024-02-08,Groceries,3.0,161,1,2,3,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
146,1040,157,2024-02-09,Books,3.5,146,0,2,4,75.0,81.0,3.4,3.9,-0.5,2.0,2.0,Facebook,1
161,1041,93,2024-02-10,Electronics,1.2,161,0,2,5,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
150,1042,389,2024-02-11,Sports,3.0,150,1,2,6,83.0,96.0,2.733333333333333,3.6,0.3333333333333333,2.0,3.0,Facebook,1
154,1043,335,2024-02-12,Electronics,3.0,154,1,2,0,72.0,72.0,2.9,2.9,1.0,1.0,1.0,TikTok,1
163,1044,495,2024-02-13,Sports,3.0,163,0,2,1,74.5,96.0,3.6,4.0,0.0,1.0,2.0,TikTok,1
102,1045,380,2024-02-14,Electronics,4.4,102,0,2,2,51.0,51.0,4.8,4.8,0.0,1.0,1.0,LinkedIn,1
150,1046,177,2024-02-15,Books,3.6,150,0,2,3,83.0,96.0,2.733333333333333,3.6,0.3333333333333333,2.0,3.0,Facebook,1
106,1047,397,2024-02-16,Sports,1.7,106,0,2,4,99.0,99.0,4.2,4.2,-1.0,1.0,1.0,Facebook,1
120,1048,280,2024-02-17,Groceries,1.3,120,0,2,5,77.0,92.0,2.6666666666666665,3.6,1.0,2.0,3.0,Instagram,1
172,1049,239,2024-02-18,Electronics,3.6,172,0,2,6,56.0,56.0,2.7,2.7,-1.0,1.0,1.0,TikTok,1
138,1050,274,2024-02-19,Electronics,1.1,138,0,2,0,88.0,88.0,3.5,3.5,1.0,1.0,1.0,LinkedIn,1
117,1051,434,2024-02-20,Sports,3.3,117,0,2,1,88.0,98.0,3.8499999999999996,3.9,0.0,1.0,2.0,LinkedIn,1
103,1052,426,2024-02-21,Groceries,4.8,103,0,2,2,64.33333333333333,77.0,2.8666666666666667,3.6,0.3333333333333333,2.0,3.0,Instagram,1
188,1053,332,2024-02-22,Groceries,3.3,188,0,2,3,50.0,50.0,3.6,3.6,1.0,1.0,1.0,TikTok,1
159,1054,495,2024-02-23,Books,2.6,159,0,2,4,77.0,82.0,3.1333333333333333,3.8,0.0,1.0,2.0,None,0
